GEOID,Asthma_prev,nearest_hw_dist_m,hw_count_5km,ratio_poverty,ratio_uninsured,med_income,ratio_black,ratio_hispanic
1400000US37111970100,9.8,1899.796004955862,2,12.0,13.2,50511.0,0.0908265213442325,9.19164396003633
1400000US37147001302,9.3,1233.3747242772706,5,5.8,5.2,74914.0,38.20382389054552,3.139800035081565
1400000US37149920301,9.6,3152.2095367138827,2,12.9,19.2,37051.0,0.998185117967332,6.261343012704174
1400000US37123960500,10.7,13356.82052948864,0,21.4,24.9,39947.0,19.17537975932137,29.69027421582166
1400000US37119006104,9.9,2062.9498340913374,21,9.7,12.4,62543.0,55.44565583904687,4.810610318084748
1400000US37139960300,14.6,946.0088447884232,8,46.8,13.6,18432.0,68.40796019900498,15.21558872305141
1400000US37135011602,11.7,699.8027785896592,18,41.7,2.6,25972.0,9.28295150252901,8.747396608152336
1400000US37129011300,9.7,622.5582756342689,25,30.4,10.3,38889.0,13.336933045356371,5.669546436285097
1400000US37147000100,12.8,42.14976316068815,22,61.4,11.0,21250.0,29.219879981535623,1.5848592091090938
1400000US37129010800,11.1,815.3871042201399,17,34.1,26.4,30265.0,16.094986807387862,39.80399547681869
1400000US37119005911,8.4,4479.15374107296,3,4.0,5.3,115671.0,24.36986492132015,8.021166968388805
1400000US37109071101,9.1,1919.7230112258303,5,11.2,5.1,61080.0,2.924653007270324,1.982815598149372
1400000US37119005815,8.5,1866.8163315525803,7,4.9,9.6,79926.0,3.499873193000254,5.123002789753994
1400000US37119005844,7.6,2005.4528049218643,5,1.8,3.0,121625.0,9.658230586199435,4.574951330304996
1400000US37125950702,7.6,2700.8092185546584,8,0.0,7.8,82407.0,8.294266137756942,1.1900468806346918
1400000US37119003006,7.9,1595.9013610676907,8,4.4,7.2,92755.0,6.954887218045112,5.263157894736842
1400000US37119003203,8.5,1142.584582821131,32,14.1,13.8,56890.0,14.618069018999613,10.275300504071346
