GEOID,Asthma_prev,nearest_hw_dist_m,hw_count_5km
1400000US37033930400,10.2,17868.60578377564,0
1400000US37063002013,8.4,1295.7545645580158,32
1400000US37063002021,8.2,2001.331649902165,16
1400000US37031970301,9.5,2266.787391149496,1
1400000US37051003313,10.0,2087.792284317209,3
1400000US37057061000,10.3,1354.4811248186688,16
1400000US37017950300,11.0,14379.180349984514,0
1400000US37051003405,10.0,2859.3099168943986,3
1400000US37049961302,10.1,5499.197742201861,0
1400000US37019020309,8.6,8874.545074554753,0
1400000US37031970200,9.4,8587.555532210055,0
1400000US37035011802,10.1,7855.868479549978,0
1400000US37051001902,10.4,1405.403499589538,16
1400000US37045951503,9.8,2802.3255392043857,1
1400000US37057060700,10.9,1096.39628632606,16
1400000US37061090100,10.5,14828.370201709382,0
1400000US37045950102,10.4,9909.110690140307,0
1400000US37031971002,7.7,4187.465938600735,3
1400000US37061090600,10.7,11528.39317751849,0
1400000US37051003312,10.0,3772.679205262664,3
1400000US37025041901,11.0,211.9731323943124,19
1400000US37035011702,9.2,5453.8693984323945,0
1400000US37021002504,9.3,4351.645269193165,1
1400000US37021003204,9.0,9619.514148295471,0
1400000US37027031201,10.3,8960.538443233285,0
1400000US37025040701,10.3,2027.533846580103,8
1400000US37031970803,8.1,3902.869365195511,1
1400000US37051003201,9.0,2647.884706220571,4
1400000US37019020601,9.7,11285.076406691456,0
1400000US37023021202,10.0,4277.316637858709,1
1400000US37051001500,10.2,2179.046842855208,5
1400000US37023020100,10.8,5718.087118200507,0
1400000US37051002001,9.5,260.3202331725362,24
1400000US37025041503,8.7,3432.544326957564,4
1400000US37019020204,9.4,7834.882139645466,0
1400000US37061090801,10.9,11700.172006498264,0
1400000US37063001900,8.2,3001.4829864234434,1
1400000US37065020300,11.9,2065.019825768993,12
1400000US37051002700,9.6,14232.252527963288,0
1400000US37019020509,8.3,2308.714157671711,1
1400000US37019020306,8.5,3665.375445198972,2
1400000US37035011504,8.7,2446.262076460477,1
1400000US37049961303,9.9,11483.467601396724,0
1400000US37051001200,12.3,1812.9374620726712,10
1400000US37021003201,8.4,1397.5814756992245,11
1400000US37029950102,9.5,11155.330031456087,0
1400000US37063000102,9.8,999.3017658143726,28
1400000US37049960600,10.6,1748.6661453668878,6
1400000US37035011300,10.7,1029.664763651606,15
1400000US37023021400,10.5,656.8966935677025,16
1400000US37049961100,8.8,7754.435392723186,0
1400000US37063001002,12.7,1257.3461532644974,19
1400000US37045951501,10.0,4900.268090755467,1
1400000US37051003102,9.3,2133.2440021492653,2
1400000US37057060900,10.4,1593.3753130208283,14
1400000US37063001707,7.7,2132.314754007981,9
1400000US37051003305,10.6,1926.509954095975,9
1400000US37037020401,10.4,1633.2382112200464,2
1400000US37051980200,8.4,3304.961491905123,4
1400000US37027030500,9.2,1791.3721727350662,15
1400000US37057060301,9.2,4345.788906427725,1
1400000US37063002200,9.1,612.0223812590747,25
1400000US37031970604,7.8,833.7561741907685,6
1400000US37051000900,10.1,1317.703100031752,26
1400000US37027031100,10.1,8240.763217679074,0
1400000US37039930100,10.2,10398.469247360574,0
1400000US37021000900,11.7,924.9722758390374,31
1400000US37027031202,10.6,1570.7649312326134,5
1400000US37063000301,9.9,174.89166092296162,27
1400000US37065020200,13.0,3519.083724029759,12
1400000US37065020400,12.0,491.8060791973925,13
1400000US37025040800,10.5,951.088272041132,9
1400000US37031970501,9.9,953.0781529038732,6
1400000US37047930900,11.6,2278.534579591877,3
1400000US37021000700,9.8,369.046892450619,30
1400000US37035011503,8.8,7274.438824870382,0
1400000US37035010700,10.3,705.2741234801966,20
1400000US37057061701,9.5,1969.6361391422731,6
1400000US37063001708,10.6,1993.8563293596285,15
1400000US37021001801,8.9,1536.7263946742248,26
1400000US37013930700,9.1,19518.5728383954,0
1400000US37021001300,9.8,1611.4916089070475,12
1400000US37045950800,10.5,3052.165929600797,1
