GEOID,Asthma_prev,nearest_hw_dist_m,hw_count_5km,ratio_poverty,ratio_uninsured,med_income,ratio_black,ratio_hispanic,ln_nearest_hw_dist_m,z_ratio_poverty,z_ratio_uninsured,z_med_income,z_ratio_black,z_ratio_hispanic,ln_nearest_hw_dist_m_x_z_ratio_poverty,ln_nearest_hw_dist_m_x_z_ratio_black
1400000US37001020701,9.2,994.3943120446136,30,8.8,6.9,55715.0,11.321134124271063,9.149406796702191,6.903138952167233,-0.6051226026618739,-0.6868378530955603,-0.0724663679179086,-0.491278297537266,0.00867098560639613,-4.177245409271997,-3.3913623520839047
1400000US37003040400,10.2,7269.414873715186,0,13.5,7.9,39489.0,16.314154710841592,5.235911847359858,8.89156863543512,-0.12581743119610064,-0.5190069171000362,-0.6696664281855457,-0.24835427283242387,-0.4551802657605905,-1.1187143250142648,-2.208259062793077
1400000US37001021204,9.7,3273.3489860672066,3,12.1,8.3,56515.0,15.47427652733119,10.269292604501608,8.093874345429175,-0.26858918439867147,-0.4518745427018264,-0.043022262888073176,-0.2892166296087806,0.14140667073183213,-2.1739271090641528,-2.340883058662001
1400000US37001020200,11.7,1255.182908996361,24,33.0,16.8,29797.0,29.24505252870755,28.389934033716106,7.135832964607205,1.8627891312682783,0.9746884132601292,-1.0263817606220018,0.38076905772460456,2.289175432750069,13.2925520890162,2.717104394013657
1400000US37001020802,12.3,582.8977219615722,26,27.0,25.3,28391.0,37.54860524091293,35.36770921386306,6.3697258338630975,1.2509101889715464,2.401251369222085,-1.0781297752119376,0.7847594697856153,3.116223836022593,7.967954946534628,4.9987026680621405
1400000US37001020702,10.9,565.5211839474789,26,24.8,11.2,34102.0,31.329690346083787,17.911353976927746,6.339514474203997,1.026554576796078,0.03483517168519351,-0.8679356704302,0.4821923544782799,1.0471903184707616,6.507857598159095,3.05686541056556
1400000US37001020502,11.2,1061.296340572851,14,22.3,16.1,38775.0,34.72083748753739,23.454636091724826,6.96818820296487,0.771605017505773,0.8572067580632624,-0.6959452919246738,0.6471808815001668,1.70421386875309,5.37668898033223,4.509678183653868
1400000US37001020902,9.4,2854.254122125309,12,7.6,7.6,62500.0,12.11332755131541,9.135588320323793,7.956916127629984,-0.7274983911212204,-0.5693561978986935,0.17725644786638314,-0.4527359337905717,0.0070331356428533125,-5.788643681137304,-3.6023818531358205
1400000US37011930100,10.1,15865.252688768338,0,22.0,15.6,40134.0,1.84873949579832,7.450980392156863,9.671949660167012,0.7410110703909363,0.7732912900655,-0.6459271185052409,-0.9521360462375622,-0.19263685388256907,7.16702177044761,-9.209011908840152
1400000US37021002000,9.9,166.7789145639693,25,16.3,17.1,41574.0,25.34905367669873,3.0251318647223084,5.1226471279966335,0.15972607520904103,1.0250376940587866,-0.5929277294515372,0.19121812258105722,-0.717215371137651,0.8182203204357683,0.979542966460761
1400000US37063000900,11.8,642.8511544714705,22,22.4,28.8,32500.0,53.80116959064327,29.239766081871345,6.46746757279339,0.781802999877385,2.9886596452064196,-0.9268974907524454,1.5754909068299636,2.3899027018768177,5.056285550019582,10.189436351153642
1400000US37051001601,9.9,637.6564993677345,6,13.1,14.2,48634.0,31.1084305052942,8.604744672295938,6.459366750165625,-0.16660936068254947,0.5383279796717662,-0.33308350256323943,0.4714274617448661,-0.05588568592335724,-1.076190964659212,3.0451228715097653
1400000US37025042200,8.9,1865.1228322951529,6,9.6,6.2,64327.0,10.217945089159354,6.113784319275403,7.531618205765552,-0.5235387436889765,-0.8043195082924274,0.2444994227282698,-0.5449514430356822,-0.35112947486661317,-3.9430939333915203,-4.104366209625753
1400000US37027030100,11.3,1256.5136059956792,17,22.4,23.2,26737.0,25.40381791483113,17.217327459618208,7.136891721792639,0.781802999877385,2.048806403631484,-1.1390054623611225,0.19388255163885015,0.9649300695875987,5.57964335789756,1.3837187777913436
1400000US37037020600,10.0,4542.533757033576,1,11.9,14.6,52431.0,15.654520917678813,5.8415268941584735,8.421460348849978,-0.28898514914189577,0.6054603540699759,-0.19333441906538304,-0.28044725003692716,-0.38339908271564443,-2.4336769749049725,-2.3617753961299974
1400000US37039930602,9.6,19948.21376063605,0,14.4,10.7,42568.0,0.0,1.851851851851852,9.900945011046963,-0.0340355898515908,-0.04908029631256859,-0.5563434289519666,-1.0420822483738117,-0.8562796625749743,-0.3369845035391486,-10.317599038137292
1400000US37045950500,10.6,1267.5024365095628,4,21.0,14.0,34292.0,25.4380664652568,2.02416918429003,7.145592299817596,0.6390312466748144,0.5047617924726614,-0.8609426954856141,0.19554883671928577,-0.835855563063334,4.566256755582392,1.3973122618996168
1400000US37063001301,11.8,218.3935890669877,23,25.1,23.1,31683.0,82.41678726483357,12.807525325615051,5.39086732711789,1.0571485239109146,2.032023310031932,-0.9569672830141649,2.9677184961826297,0.44225346859136666,5.698947437462255,15.998576677154377
1400000US37057060400,9.6,2498.994664534246,5,14.7,11.8,53304.0,0.0,4.010073614877954,7.824043876667713,-0.0034416427367543125,0.13553373328250828,-0.16120353945157512,-1.0420822483738117,-0.6004740774226653,-0.026927563780180488,-8.153297234373245
1400000US37045951300,9.4,1833.915119951769,7,16.1,8.5,48720.0,7.74818401937046,8.820477343479764,7.514753503261748,0.1393301104658167,-0.4183083555027217,-0.32991826127253215,-0.6651120329491602,-0.03031573609981734,1.0470314357328423,-4.998152979666244
1400000US37015960100,10.5,14974.01845007791,0,15.0,13.1,42672.0,48.13034188034188,0.6054131054131053,9.614138655041517,0.02715230437808236,0.35371395007668954,-0.552515695298088,1.2995897229855862,-1.0040151725914295,0.2610460190947746,12.494435791450421
1400000US37021002603,10.4,9845.540525002752,0,21.1,12.8,36557.0,1.964379256155055,6.469355683603981,9.194875456739682,0.6492292290464267,0.30336466927803246,-0.7775790731198925,-0.9465098575378164,-0.3089849916287354,5.969581903957014,-8.70304025863664
1400000US37049961201,10.2,2064.338976271537,3,9.4,4.6,41667.0,9.903622465935529,17.68029245596544,7.6330496450816065,-0.5439347084322008,-1.0728490058852662,-0.5895048522418187,-0.5602440931190181,1.0198035000313672,-4.151880633145978,-4.276370976141187
1400000US37035010501,8.3,661.2243620793627,25,4.6,8.0,77179.0,7.259528130671507,1.6593207155820584,6.495604414045852,-1.0334378622695863,-0.5022238235004838,0.7175189700325759,-0.6888864703103338,-0.879099625202206,-6.712803539800435,-4.474733997324271
1400000US37021000300,10.3,276.2782886721926,26,31.4,8.9,44551.0,20.617696160267112,1.961602671118531,5.625021654108206,1.699621413322483,-0.351175981104512,-0.483358853609262,-0.038975282449246584,-0.8432713271831129,9.56040725372496,-0.21923680775199555
1400000US37023021201,9.9,5681.328615197486,0,23.7,13.8,40347.0,0.0,2.121374865735768,8.645116395165843,0.9143767707083437,0.4711956052735567,-0.6380876255410473,-1.0420822483738117,-0.8243341537955992,7.9048936118095,-9.008922330527724
1400000US37031970103,9.6,9203.23612377443,0,25.8,16.8,51995.0,0.0,0.0,9.127419105299722,1.1285344005122,0.9746884132601292,-0.20938145630664334,-1.0420822483738117,-1.0757724203137076,10.300606448223023,-9.51152142310082
1400000US37051003403,10.5,3658.793199629473,2,13.0,1.5,36958.0,17.63892091307355,26.631311966797327,8.205161921965589,-0.17680734305416163,-1.5931249074713911,-0.7628202154736875,-0.18390079581197807,2.080732836814444,-1.450732878751914,-1.5089358072156114
1400000US37035011102,9.2,2322.132467062,13,12.9,14.3,54118.0,7.756485464737323,14.43097379741885,7.750671755278043,-0.1870053254257738,0.5551110732713188,-0.13124416258371757,-0.6647081450651787,0.6346744669377586,-1.4494168938641239,-5.151934645459941
1400000US37035010202,9.6,2126.24433287631,13,13.5,10.9,54968.0,5.023839981393186,11.919990696592626,7.662582680665152,-0.12581743119610064,-0.01551410911346357,-0.09995980098951744,-0.7976587763305342,0.33705746000247855,-0.9640864692090202,-6.11212632459091
1400000US37051003314,10.5,2011.56094473566,3,17.5,11.4,52836.0,52.927277500656345,16.40850616959832,7.607163291932659,0.28210186366838735,0.06840135888429853,-0.17842834089402884,1.53297368103916,0.8690636452368955,2.1459949418839477,11.661581113899983
1400000US37051002100,9.8,395.0598561555889,27,15.2,13.8,43191.0,27.81974472518885,9.976556394894503,5.981565351740235,0.047548269121306684,0.4711956052735567,-0.5334138321599823,0.31142395848643023,0.10670979264604262,0.28441307911122815,1.8628027597842203
1400000US37047931200,10.5,3382.2778480498173,1,20.0,11.7,38566.0,35.04407165197612,5.885698038100654,8.126600296076163,0.5370514229586923,0.11875063968295561,-0.7036375643637183,0.6629071022889931,-0.3781636497696188,4.364402252824234,5.387181053732722
1400000US37063001604,8.0,3409.472479107848,4,5.3,1.9,104314.0,12.411847672778562,3.05594734367654,8.13460611760256,-0.9620519856683009,-1.5259925330731814,1.7162262075133063,-0.4382121183758597,-0.7135629329310308,-7.825913968069051,-3.564682978947846
1400000US37025042502,9.4,1655.0243434333297,20,12.5,22.8,51944.0,29.172932330827063,7.781954887218045,7.412175034978058,-0.22779725491222264,1.9816740292332744,-0.21125851800229536,0.37726021404413596,-0.15340774136500077,-1.6884731258969095,2.7963187402284233
1400000US37051001700,10.7,1993.2994163479057,18,19.5,11.5,42260.0,35.45524268653446,14.144844965487016,7.598048097899005,0.48606151110063134,0.0851844524838509,-0.5676794093884532,0.68291169085921,0.6007607354875469,3.693118739880068,5.188795873765813
1400000US37063002009,11.3,996.4483633247722,22,21.6,16.0,35247.0,72.80285035629454,19.67537608867775,6.905200381333654,0.7002191409044877,0.8404236644637098,-0.8257937951062481,2.4999743307845765,1.2562729606016223,4.835153478790792,17.262823702258004
1400000US37031970504,8.6,2835.857720911886,3,8.2,9.7,77250.0,2.63724434876211,16.146393972012916,7.950452282304103,-0.6663104968915473,-0.21691123230809278,0.7201321343539738,-0.913773141647011,0.8379965115310064,-5.297469810734583,-7.264909759515668
1400000US37017950200,11.0,15024.376173207373,0,27.5,21.7,36004.0,28.428525330751857,11.971603743142948,9.617495795576348,1.3019001008296074,1.7970599996381977,-0.7979323107217663,0.3410427898734631,0.3431749525606976,12.521018745989172,3.2799775977196592
1400000US37051001604,10.2,2395.661113089205,7,12.7,5.7,53064.0,41.908048810550966,12.85591026747196,7.781831844835343,-0.2074012901689983,-0.8882349762901894,-0.17003677096052575,0.9968582502830341,0.4479883465248154,-1.6139619644970464,7.757383276839356
1400000US37059080500,9.7,3782.751269100807,2,15.4,10.2,50472.0,9.94606256742179,11.45631067961165,8.23847119574408,0.06794423386453119,-0.1329957643103307,-0.26543567125719253,-0.5581792668113409,0.28209928095931025,0.5597566136098396,-4.598543811686781
1400000US37051000701,8.4,1164.315806931372,29,10.9,7.6,74050.0,9.327947117150202,7.932427469702534,7.0607474081756,-0.3909649728580178,-0.5693561978986935,0.6023557142346322,-0.5882522637695518,-0.13557281463446233,-2.760504918794693,-4.153500646764292
