GEOID,Asthma_prev,geometry
1400000US37051003203,10.3,POINT (-78.97974939 35.02635454)
1400000US37021000400,10.1,POINT (-82.56223271 35.61471841)
1400000US37051002501,10.1,POINT (-78.89898722 35.11800818)
1400000US37051000800,9.6,POINT (-78.89603193 35.06017211)
1400000US37035011601,9.7,POINT (-81.17496205 35.61157385)
1400000US37021000600,9.0,POINT (-82.54709368 35.60415401)
1400000US37023020302,9.6,POINT (-81.78242678 35.6693274)
1400000US37023021302,10.1,POINT (-81.67872061 35.61577697)
1400000US37051003408,10.0,POINT (-78.96384535 35.13525017)
1400000US37055970502,9.4,POINT (-75.54389467 35.38387576)
1400000US37021002301,8.1,POINT (-82.59942834 35.46463238)
1400000US37035010600,9.4,POINT (-81.36547915 35.74465854)
1400000US37023020600,10.6,POINT (-81.67293283 35.75465502)
1400000US37019020201,9.3,POINT (-78.00140524 34.21505514)
1400000US37021001700,8.3,POINT (-82.51554514 35.64583305)
1400000US37049961202,7.4,POINT (-76.88239632 34.91652097)
1400000US37051003600,10.8,POINT (-78.98671647 35.19807342)
1400000US37019020310,8.4,POINT (-78.06462524 33.90802784)
1400000US37047930600,10.9,POINT (-78.95399552 34.27625241)
1400000US37037020104,7.3,POINT (-79.06237167 35.78502847)
1400000US37051003002,10.8,POINT (-78.82117809 34.92193795)
1400000US37049960402,9.4,POINT (-77.08275369 35.09188502)
1400000US37021002606,9.3,POINT (-82.65906599 35.6439775)
1400000US37019020602,10.2,POINT (-78.2082801 34.16940736)
1400000US37053110402,9.9,POINT (-75.87734423 36.198179)
1400000US37031970302,10.0,POINT (-76.66132587 34.73095257)
1400000US37025040703,10.9,POINT (-80.60099407 35.46157849)
1400000US37049960700,9.2,POINT (-77.06728402 35.10503557)
1400000US37025042503,9.0,POINT (-80.65337014 35.40552397)
1400000US37051003103,10.0,POINT (-78.98592287 34.96197149)
1400000US37023021301,10.3,POINT (-81.68229746 35.68083004)
1400000US37057060500,10.2,POINT (-80.14664556 35.88301461)
1400000US37031970605,8.1,POINT (-76.79431367 34.73005341)
1400000US37039930200,10.3,POINT (-83.89652727 35.18447668)
1400000US37053110302,9.2,POINT (-76.04662702 36.39133961)
1400000US37049960900,10.7,POINT (-77.04430226 35.10603847)
1400000US37063001100,11.8,POINT (-78.89007543 35.99018919)
1400000US37035010900,11.9,POINT (-81.33244658 35.72106744)
1400000US37057061901,9.9,POINT (-80.12394932 35.80297462)
1400000US37051002200,10.3,POINT (-78.96442156 35.09618151)
1400000US37021001000,9.4,POINT (-82.57529103 35.57623265)
1400000US37051002900,10.3,POINT (-78.67569599 34.90349719)
1400000US37021003002,9.3,POINT (-82.40280467 35.61525042)
1400000US37057060601,9.8,POINT (-80.08869307 35.92942968)
1400000US37031970704,9.3,POINT (-76.77406121 34.8108469)
1400000US37015960200,11.8,POINT (-77.04309511 36.14639166)
1400000US37051000500,11.9,POINT (-78.90121865 35.02517622)
1400000US37063001001,12.3,POINT (-78.8761349 35.98464184)
1400000US37049960404,8.4,POINT (-77.15209338 35.07307833)
1400000US37051003001,9.6,POINT (-78.89290486 34.90171927)
1400000US37017950400,10.9,POINT (-78.62301109 34.60295958)
1400000US37045951502,9.6,POINT (-81.69613153 35.19777756)
1400000US37057060102,8.7,POINT (-80.11974212 35.99122097)
1400000US37019020512,7.9,POINT (-78.4846629 33.87919464)
1400000US37031970805,9.5,POINT (-77.0141259 34.76940378)
1400000US37057060101,9.3,POINT (-80.05893532 35.98438755)
1400000US37051003401,9.8,POINT (-79.01018259 35.16999268)
1400000US37063001304,13.0,POINT (-78.91009385 35.96672769)
1400000US37023020202,9.6,POINT (-81.73604566 35.77347213)
1400000US37051003302,11.2,POINT (-78.99229306 35.04958556)
1400000US37023021100,9.6,POINT (-81.41490835 35.74007216)
1400000US37021001400,9.9,POINT (-82.59625125 35.60502916)
1400000US37025042300,9.9,POINT (-80.57789876 35.42091946)
1400000US37031970601,9.1,POINT (-76.92425416 34.72317411)
