GEOID,ratio_white,ratio_black,ratio_asian,ratio_hispanic,ratio_other_race,ratio_male,ratio_female,ratio_poverty,ratio_unemployed,ratio_uninsured,med_income
1400000US37021002402,78.47461056038843,4.228201497066559,1.2340683795266034,12.077685616022658,3.985433946995751,52.9,47.1,14.8,1.9,7.1,50869.0
1400000US37021002503,91.00710610144571,0.0,0.0,8.5028179367802,0.490075961774075,45.1,54.9,13.8,4.5,10.8,46308.0
1400000US37021002504,94.44444444444444,0.0,0.0,3.125,2.430555555555556,49.5,50.5,15.6,0.7,11.0,51417.0
1400000US37021002505,89.3845285149633,1.1104837191793715,1.2610577827969132,7.923960097873141,0.3199698851872765,53.1,46.9,5.7,5.5,13.5,64161.0
1400000US37021002506,74.33652530779754,13.89876880984952,0.0,5.526675786593708,6.238030095759234,54.6,45.4,22.0,3.9,19.0,34178.0
1400000US37021002603,87.61131482451545,1.964379256155055,0.0523834468308014,6.469355683603981,3.902566788894709,47.3,52.7,21.1,2.6,12.8,36557.0
1400000US37021002604,95.85277345775012,0.1209607741489545,0.0,3.5597027820978053,0.4665629860031104,50.3,49.7,7.5,1.1,13.9,57893.0
1400000US37021002605,83.78117457763476,0.9814963797264684,1.5446500402252614,9.605792437650845,4.08688656476267,51.0,49.0,9.1,1.8,15.9,44893.0
1400000US37021002606,87.53922008068132,1.1205737337516808,0.1568803227252353,8.874943971313312,2.3083818915284624,49.1,50.9,19.2,0.9,19.2,45949.0
1400000US37021002607,86.11586409190906,0.3666585186995844,1.4666340747983375,9.997555609875336,2.0532877047176727,43.3,56.7,17.4,2.2,15.4,48446.0
1400000US37021002701,88.13778813778814,1.3727013727013726,0.777000777000777,4.351204351204351,5.361305361305361,53.8,46.2,8.1,1.0,9.9,60924.0
1400000US37021002702,90.96070860776744,3.270497388144447,0.5677946854417443,3.747444923915512,0.5677946854417443,46.9,53.1,3.5,1.0,6.2,52873.0
1400000US37021002703,90.68467629250117,0.9160068312373856,0.3260363297624593,3.710603943487037,4.362676603011955,48.3,51.7,8.9,1.0,10.0,67815.0
1400000US37021002803,79.40749948207997,1.2844416822042677,0.0,15.558317795732338,3.7497410399834266,51.2,48.8,18.4,3.0,13.0,47534.0
1400000US37021002804,97.80872414499284,0.6758140487405284,0.0,0.7986893303297153,0.7167724759369241,49.4,50.6,9.0,1.1,8.4,51782.0
1400000US37021002900,98.21709491347669,0.0,0.183534347142108,0.9438909281594128,0.6554798112218143,49.7,50.3,8.8,1.3,17.0,49091.0
1400000US37021003001,83.68047861732772,8.176379348548638,0.2991358298249501,6.137824063815644,1.4956791491247508,44.7,55.3,9.9,1.9,8.7,57607.0
1400000US37021003002,90.53254437869822,4.020634198148991,0.0,4.096495220755576,1.3503262023972082,46.1,53.9,13.5,1.3,12.4,45784.0
1400000US37021003102,89.6339253352664,7.321493294671982,0.27183762232693,0.4530627038782167,1.5404131931859368,47.2,52.8,11.2,4.1,10.4,45631.0
1400000US37021003103,92.95550847457628,1.059322033898305,2.5423728813559325,1.430084745762712,2.0127118644067794,45.2,54.8,6.3,4.1,11.8,52500.0
1400000US37021003104,85.00077077231386,4.547556651765069,1.0482503468475413,5.56497610605827,3.607214428857716,41.8,58.2,9.7,1.2,8.3,55063.0
1400000US37021003201,93.20505111244738,0.0601322910402886,0.0,5.592303066746843,1.142513529765484,45.6,54.4,3.4,1.4,9.7,58684.0
1400000US37021003202,92.45467907888288,3.0377266046055853,0.9799118079372856,2.0088192062714354,1.5188633023027929,49.6,50.4,10.1,1.7,5.8,72917.0
1400000US37021003203,82.43851749220644,9.560096986491168,0.0,6.944925528229996,1.0564599930723937,50.4,49.6,13.1,0.6,5.1,51400.0
1400000US37021003204,84.59093190563827,2.961351848753555,0.0,9.837711226367745,2.610005019240422,48.1,51.9,11.2,4.8,12.3,53550.0
1400000US37021003205,96.87010954616588,0.0,0.0,0.3129890453834116,2.8169014084507045,51.2,48.8,10.7,1.2,6.2,43239.0
1400000US37023020100,83.14034275127374,13.246873552570634,0.0,2.431681333950903,1.1811023622047243,50.7,49.3,33.9,10.2,10.0,31286.0
1400000US37023020201,76.82963862739143,17.279076829638626,0.1670209535378074,0.0303674460977831,5.693896143334346,51.1,48.9,17.2,10.6,19.5,47202.0
1400000US37023020202,85.19658929417338,8.621506395073425,0.7579346281383231,2.36854571293226,3.055423969682615,49.0,51.0,10.8,5.1,10.1,52199.0
1400000US37023020301,75.69528415961307,9.81459089076985,9.653365578395809,1.2494961708988312,3.5872632003224507,50.5,49.5,19.9,2.3,9.4,37188.0
1400000US37023020302,87.55909766310955,0.4457652303120356,6.092124814264487,1.7965689585303253,4.106443333783601,45.3,54.7,13.7,3.3,8.8,46738.0
1400000US37023020500,68.4528034066714,10.858765081618168,1.4904187366926898,17.317246273953156,1.667849538679915,52.4,47.6,12.5,2.6,20.3,58182.0
1400000US37023020600,60.27274358514265,6.423829176386148,0.0,26.25157006998026,2.512111968419164,45.5,54.5,21.6,1.7,14.4,43857.0
1400000US37023020801,90.6725306945208,2.2906358805204325,2.7487630566245187,3.8849184533626535,0.4031519149715961,49.8,50.2,14.0,1.9,8.3,53796.0
1400000US37023020802,79.7635800731776,11.342527441598648,3.3211370672670983,4.249929636926541,1.3228257810301154,47.9,52.1,13.8,2.3,17.5,36904.0
1400000US37023020900,92.31995362990872,0.0,4.448630633241559,1.7678597304738444,1.4635560063758877,48.3,51.7,10.7,2.2,7.5,49543.0
1400000US37023021000,86.11439842209073,1.0059171597633136,8.382642998027613,3.6291913214990137,0.8678500986193294,51.6,48.4,12.0,3.9,9.8,48639.0
1400000US37023021100,90.8,0.9166666666666666,6.05,1.2,1.0333333333333332,47.8,52.3,17.3,5.0,8.5,45417.0
