GEOID,Depression_prev,Med_income,percent_Poverty,percent_Unemployed,percent_Uninsured,percent_>=HighSch,percent_>=18,percent_Black,percent_Hispanic,Full_Service_Restaurant,Sport_facilities,Parks,Fastfood_Restaurant,Convenience,Supermarket,Warehouse,Fruit,TobaccoStore,DrinkingPlaces,total_visits,share_Full_Service_Restaurant,share_Sport_facilities,share_Parks,share_Fastfood_Restaurant,share_Convenience,share_Supermarket,share_Warehouse,share_Fruit,share_TobaccoStore,share_DrinkingPlaces,mobility_diversity
0500000US45043,19.2,55719.0,15.8,3.6,10.8,89.7,82.0,30.4498983997968,3.2004064008128017,205018.0,24728.0,261608.0,161931.0,50246.0,73072.0,91346.0,802.0,9896.0,25143.0,903790.0,0.2268425187266953,0.0273603381316456,0.2894566215603182,0.1791688334679516,0.0555947731220748,0.08085064008232,0.1010699388132198,0.0008873742794233,0.0109494462209141,0.0278195155954369,1.8528679086393989
0500000US45045,19.7,65513.0,10.2,2.5,10.4,89.7,76.8,16.930802152633586,9.657959312605696,2293243.0,342330.0,690321.0,2205387.0,543690.0,541486.0,722357.0,40934.0,167954.0,404753.0,7952455.0,0.2883691891371909,0.0430470842022997,0.0868060240516922,0.2773215315270567,0.0683675669966067,0.0680904198766293,0.0908344655832695,0.0051473412927202,0.0211197674177345,0.0508966099147999,1.9062623529824054
0500000US45047,21.0,44513.0,14.5,3.3,8.8,86.0,77.2,31.835357235570683,6.361591046756468,250624.0,13515.0,39947.0,222424.0,161258.0,78100.0,125181.0,521.0,7833.0,21334.0,920737.0,0.272199335966731,0.0146784586695223,0.0433858962982914,0.241571697455408,0.175140132307054,0.0848233534657562,0.1359573906555292,0.000565851051929,0.0085073153354323,0.0231705687943462,1.8131651459288716
0500000US45049,19.2,38298.0,18.4,5.6,10.3,81.5,78.3,52.72793467519634,4.311645082436157,28073.0,4484.0,11436.0,30920.0,23274.0,17996.0,18597.0,12.0,781.0,2830.0,138403.0,0.2028351986589886,0.032398141658779,0.0826282667283223,0.2234055620181643,0.1681610947739572,0.1300260832496405,0.1343684746717918,8.670332290485033e-05,0.005642941265724,0.0204475336517272,1.9198926542775767
0500000US45051,21.0,54688.0,13.9,3.3,14.2,91.1,82.1,12.6046423963,6.205616690589071,2327711.0,295719.0,1020189.0,1603455.0,506204.0,552987.0,887881.0,16751.0,73417.0,321289.0,7605603.0,0.3060521302518683,0.0388817296932274,0.1341365043639537,0.2108254927321344,0.0665567214065735,0.07270784446677,0.1167403820578066,0.0022024552162399,0.0096530150206367,0.0422437247907891,1.899902412790352
0500000US45053,18.5,47811.0,15.7,4.2,13.9,88.8,80.1,38.962733138243486,13.792617142051265,57766.0,18203.0,32637.0,49043.0,19828.0,26235.0,35645.0,104.0,1828.0,8024.0,249313.0,0.2317007135608652,0.0730126387312334,0.1309077344542803,0.19671256613173,0.079530549951266,0.1052291697584963,0.1429728895003469,0.000417146318082,0.0073321487447505,0.0321844428489489,1.9821823950677846
0500000US45055,20.9,56449.0,13.7,3.2,10.1,89.8,76.7,23.196233208696857,4.930065087937958,273945.0,33667.0,76720.0,211817.0,144888.0,92097.0,127563.0,876.0,4983.0,18477.0,985033.0,0.2781074339641413,0.0341785503632873,0.0778857155039475,0.2150354353610488,0.1470894883724707,0.0934963600204257,0.1295012451359497,0.0008893103073704,0.0050587137689803,0.0187577472023779,1.876385877553177
0500000US45057,21.0,67407.0,11.9,2.8,8.5,87.9,78.3,19.91590335224452,5.944872323117069,354881.0,55412.0,86463.0,240436.0,106448.0,151438.0,156397.0,2454.0,25488.0,50744.0,1230161.0,0.2884833773790585,0.0450445104340001,0.0702859219240408,0.195450839361677,0.0865317629155858,0.1231042115625515,0.1271353912211491,0.001994860835289,0.0207192391890167,0.0412498851776312,1.960030883200905
0500000US45059,23.4,46754.0,19.5,3.6,13.6,82.1,77.9,22.85697265741348,5.365759218442843,203545.0,13410.0,36450.0,232847.0,174550.0,63826.0,95885.0,760.0,7558.0,19776.0,848607.0,0.2398577904730929,0.0158023678805383,0.0429527449101881,0.2743873194541171,0.2056900308387746,0.07521267206139,0.1129910547520819,0.0008955853534085,0.0089063606592922,0.023304073617116,1.8002201521351324
0500000US45061,18.6,36195.0,20.2,3.7,11.3,82.3,80.7,62.45666467423789,2.55827854154214,27382.0,3502.0,8200.0,34699.0,18431.0,14692.0,20513.0,303.0,994.0,2282.0,130998.0,0.2090260920014046,0.0267332325684361,0.0625963755171834,0.2648819065939938,0.1406968045313669,0.1121543840363975,0.1565901769492664,0.0023130124124032,0.0075879021053756,0.0174201132841722,1.8826318742239132
