GEOID,nearest_hw_dist_m,hw_count_5km
1400000US37021000600,675.5928832252972,27
1400000US37051003403,3658.7931996294733,2
1400000US37183050500,691.6932194142771,47
1400000US37081011602,556.6173759391002,44
1400000US37085071202,5466.528690404655,0
1400000US37085071202,5466.528690404655,0
1400000US37031970903,5331.955817831244,0
1400000US37057060700,1096.39628632606,16
1400000US37119001603,1742.8431977238158,45
1400000US37155961200,1912.224912977238,8
1400000US37119005612,1505.8516629081885,14
1400000US37183053726,606.8739323932697,13
1400000US37119005709,657.3636243726944,20
1400000US37133000103,8937.634796296725,0
1400000US37067002703,1270.5402183852357,28
1400000US37017950600,17826.051125380138,0
1400000US37067003805,432.5708801237984,23
1400000US37183054012,1329.598252466232,24
1400000US37119980300,288.197005420263,53
1400000US37163970900,18172.028869380618,0
1400000US37163970900,18172.028869380618,0
1400000US37119005605,918.0462111495623,15
1400000US37081011200,503.1380365934873,52
1400000US37191000200,11581.00480375978,0
1400000US37065021300,4167.929071620027,1
1400000US37107010500,1446.3019993427306,9
1400000US37051002300,1159.6524632944834,12
1400000US37175960500,6406.483118315795,0
1400000US37195000100,225.08071850476284,27
1400000US37009970800,6732.787062622623,0
1400000US37119001918,917.8426151030127,31
1400000US37081012604,1115.5632903123471,47
1400000US37119005619,3623.699003510823,4
1400000US37119006303,1462.7761889866867,13
1400000US37001021000,871.8836710682518,18
1400000US37129010200,380.460794424639,34
1400000US37067003903,1342.8262593884274,29
1400000US37021001100,1601.2455426118906,21
1400000US37183053408,1314.8383063480376,10
1400000US37119005834,856.2056232598133,19
1400000US37037020600,4542.533757033576,1
1400000US37087920900,704.7229862963005,3
1400000US37193960900,16714.71729601779,0
1400000US37119006406,1177.3673615341986,10
1400000US37183054015,1493.345691589613,24
1400000US37081014503,962.1798844012521,27
1400000US37183053806,4394.662327720252,2
1400000US37067002100,414.50660295139215,35
1400000US37119005828,1306.5911546500959,21
1400000US37153970200,15282.509953602386,0
1400000US37135011300,516.0059075975842,18
1400000US37073970100,23229.542353031087,0
1400000US37067000500,836.1119998149056,38
1400000US37051003311,1316.1955632945824,9
1400000US37133001500,985.473306740759,22
1400000US37183051102,1118.1947800817109,42
1400000US37081012608,711.2445683421058,42
1400000US37081010702,299.1235666584233,61
1400000US37049960300,4981.026295974177,1
1400000US37041930101,3320.2845498613938,2
1400000US37133990100,3644.051603797664,1
1400000US37025041901,211.97313239431236,19
1400000US37023020201,13859.36563844976,0
1400000US37121950100,19241.72655359567,0
1400000US37001020100,119.14097400139929,27
1400000US37065020700,11491.235802126324,0
1400000US37167931201,840.7617648275104,7
1400000US37063002026,1080.1488656562713,27
1400000US37195000200,323.89547111636745,23
1400000US37099950800,16115.543368006578,0
1400000US37015960400,7943.25639659372,0
1400000US37119006006,1342.5609161493471,21
1400000US37075920100,5039.5083773204615,0
1400000US37183053716,1129.0299144633245,20
1400000US37081016010,1828.8602502984838,33
1400000US37119003806,1870.3530490802482,41
1400000US37119001100,816.2563974402631,59
1400000US37109070100,617.1918266687807,10
1400000US37127010400,1066.7971954865309,23
1400000US37119005815,1866.8163315525803,7
1400000US37195000801,796.629177906638,23
1400000US37063000402,594.253967470756,25
1400000US37081011000,611.5363642854454,41
1400000US37183050600,848.475649563736,43
1400000US37051000600,1246.4168527840975,28
1400000US37119004800,807.4996668320688,64
1400000US37083930300,1879.3223324532732,4
1400000US37119001400,907.1742727317309,59
1400000US37119003203,1142.584582821131,32
1400000US37119005915,497.50846062481895,46
1400000US37081015705,1227.77211922537,16
1400000US37195000300,731.8524411554342,24
1400000US37115010200,16503.24035693279,0
